Name,Paved Path,Protected Bike Lane,Bike Lane,Marked Route,Unmarked Route,All Roads
Emery,0,0,0,0,3.4,16.9
Emery County (Unincorporated),0,0,0,0,134.8,4679.8
Emigration Canyon,0,0,4.8,3.8,0,25.9
Enoch,0,0,0,0,0.2,79.3
Enterprise,0,0,0,0,1.1,34.9
Ephraim,0,0,0,0.1,3.2,50
Erda,0,0,0,0,8.7,86.1
Escalante,0,0,1,0,0.1,28.4
Eureka,0,0,0,0,0,17.8
Fairfield,0.1,0,0,0,2,42.8
Fairview,0,0,0,0,2.1,17.4
Farmington,36.4,0,0.6,0,16.9,196.9
Farr West,2.9,0,0.7,3.5,5.4,56.6
Fayette,0,0,0,0,0,4.9
Ferron,0,0,0,0,3.3,27.3
Fielding,0,0,0,0,0,7.6
Fillmore,0,0,1,0,2.7,77.5
Fountain Green,0,0,0,0,1.1,19.6
Francis,0,0,0,0,0.5,28
Fruit Heights,0.2,0,1.9,0,5.9,36
Garden City,2.9,0,0,0,0.5,76.2
Garfield County (Unincorporated),17.3,0,1,0,55.1,4872.3
Garland,0,0,0,0,5.3,24.2
Genola,0,0,0,0,1,41.5
Glendale,0,0,0,0,4.6,29.2
Glenwood,0,0,0,0,0.1,7.8
Goshen,0,0,0,0,0.5,12.7
Grand County (Unincorporated),11.4,0,0.3,0,43.1,7152.7
Grantsville,3.2,0,0,0,18.5,174.8
Green River,0,0,0,0,38.2,131.1
Gunnison,1.1,0,0,0,5.2,29.8
Hanksville,0,0,0,0,0,14.4
Harrisville,0.9,0,0,0,5.5,33.1
Hatch,0,0,0,0,5.2,13.1
Heber City,12.5,0,0,0,20.2,159.2
Helper,0,0,0,0,2.6,29.8
Henefer,0,0,0,0,2.2,33.6
Henrieville,0,0,0,0,0.4,10.1
Herriman,40.1,0,13.8,0,20,234.5
Hideout,2.7,0,0,0,4.5,27.8
Highland,40.2,0,4.9,0.1,13.8,119.6
Hildale,0,0,0,0,0.3,39.7
Hinckley,0,0,0,0,0.2,26.2
Holden,0,0,0,0,0.8,14.2
Holladay,1.2,0,7.3,0.8,15.2,150.2
Honeyville,0,0,0,0,0.5,56.2
Hooper,3.7,0,0,0,2,69.4
Howell,0,0,0,0,0,56.3
Huntington,0,0,0,0,3.2,24.9
Huntsville,1.3,0,0,0,0,15.6
Hurricane,0,0,0.3,0,35,295.2
Hyde Park,2.1,0,0,0,3.7,49.3
Hyrum,0,0,0,0,1.4,77.1
Independence,0,0,0,0,9.7,44.4
Interlaken,0.4,0,0,0,0,4.1
Iron County (Unincorporated),4.8,0,0,0,20.3,5527.4
Ivins,8.1,0,0.5,0,3.2,109.4
Joseph,15.8,0.3,0,0,0.5,26.2
Juab County (Unincorporated),0,0,0,0,45.1,4583.2
Junction,0,0,0,0,5.2,47.3
Kamas,0,0,0,0,6.7,22.9
Kanab,0,0,0,0,10.5,83
Kanarraville,0,0,0,0,0,7.8
Kane County (Unincorporated),0,0,0,0,91.1,3985.8
Kanosh,0,0,0,0,0.8,10.9
Kaysville,20,0,6,1.3,7.9,190.7
Kearns,5.3,0,6.1,0.8,10.7,105.8
Kingston,0,0,0,0,0,22.7
Koosharem,0,0,0,0,0,19.7
La Verkin,0,0,0,0,3.7,50.7
Lake Point,0,0,0,0,5.4,52.9
Laketown,0,0,0,0,0,23.3
Layton,30.2,0,6.8,0,37.9,382.9
Leamington,0,0,0,0,0.8,10.1
Leeds,0,0,0,0,1.1,48.8
